연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 
2004,서울특별시,송파구,주택용,61312000 ,61554000 ,56021000 ,56601000 ,54411000 ,54847000 ,57654000 ,69106000 ,58649000 ,54019000 ,56909000 ,57771000 
2004,서울특별시,송파구,일반용,95359000 ,94244000 ,87988000 ,85887000 ,83447000 ,93364000 ,104107000 ,118303000 ,104390000 ,85256000 ,85863000 ,92811000 
2004,서울특별시,송파구,총계,179259000 ,178184000 ,165586000 ,164308000 ,158328000 ,169467000 ,183760000 ,210750000 ,185105000 ,160120000 ,163581000 ,172597000 
2004,서울특별시,양천구,주택용,45273000 ,45830000 ,42775000 ,42733000 ,41412000 ,41897000 ,43630000 ,51432000 ,45701000 ,41405000 ,43321000 ,44482000 
2004,서울특별시,양천구,일반용,49690000 ,50142000 ,47593000 ,47266000 ,44610000 ,48273000 ,54336000 ,63152000 ,59068000 ,48235000 ,47398000 ,49370000 
2004,서울특별시,양천구,총계,103355000 ,103602000 ,97619000 ,97404000 ,92557000 ,97579000 ,107118000 ,125367000 ,115084000 ,97051000 ,98357000 ,102612000 
2004,서울특별시,영등포구,주택용,41559000 ,41847000 ,38823000 ,38517000 ,36771000 ,37135000 ,39133000 ,46211000 ,39748000 ,36494000 ,38275000 ,39709000 
2004,서울특별시,영등포구,일반용,108511000 ,106440000 ,102868000 ,98472000 ,97281000 ,114085000 ,127021000 ,141265000 ,120964000 ,99694000 ,98588000 ,107931000 
2004,서울특별시,영등포구,총계,185516000 ,183363000 ,176529000 ,170198000 ,165785000 ,185524000 ,202681000 ,224933000 ,194744000 ,165749000 ,166763000 ,179937000 
2004,서울특별시,용산구,주택용,28319000 ,28968000 ,26897000 ,26002000 ,25126000 ,26152000 ,27667000 ,33824000 ,28553000 ,25637000 ,26292000 ,27519000 
2004,서울특별시,용산구,일반용,48129000 ,47177000 ,44338000 ,41602000 ,40487000 ,47057000 ,53699000 ,61367000 ,54049000 ,45912000 ,45530000 ,49893000 
2004,서울특별시,용산구,총계,101992000 ,102370000 ,96026000 ,91362000 ,87786000 ,98207000 ,108200000 ,126275000 ,111074000 ,94968000 ,94474000 ,104545000 
2004,서울특별시,은평구,주택용,41422000 ,43294000 ,38610000 ,39186000 ,36990000 ,37354000 ,38074000 ,46951000 ,39877000 ,36847000 ,39163000 ,40026000 
2004,서울특별시,은평구,일반용,32060000 ,32627000 ,29263000 ,29191000 ,27193000 ,29832000 ,33819000 ,41130000 ,35899000 ,28818000 ,29209000 ,31047000 
2004,서울특별시,은평구,총계,96204000 ,96258000 ,88012000 ,88354000 ,82412000 ,85906000 ,90662000 ,109215000 ,95561000 ,83821000 ,87297000 ,90370000 
2004,서울특별시,종로구,주택용,19547000 ,20344000 ,18213000 ,17916000 ,17216000 ,17804000 ,18115000 ,21536000 ,19118000 ,17216000 ,17747000 ,18519000 
2004,서울특별시,종로구,일반용,91019000 ,90503000 ,85568000 ,80537000 ,78704000 ,93129000 ,103662000 ,115893000 ,101036000 ,81646000 ,81752000 ,88952000 
2004,서울특별시,종로구,총계,129122000 ,129925000 ,121557000 ,115049000 ,110261000 ,126451000 ,137604000 ,153666000 ,135452000 ,111741000 ,114599000 ,125264000 
2004,서울특별시,중구,주택용,14104000 ,14470000 ,13086000 ,12790000 ,12270000 ,12491000 ,12997000 ,15357000 ,13359000 ,12085000 ,12552000 ,13069000 
2004,서울특별시,중구,일반용,140018000 ,137877000 ,135071000 ,128991000 ,131126000 ,154882000 ,173461000 ,184727000 ,160664000 ,134772000 ,131129000 ,143143000 
2004,서울특별시,중구,총계,179721000 ,177593000 ,173992000 ,166684000 ,167090000 ,194941000 ,216602000 ,231678000 ,204191000 ,170476000 ,167440000 ,181710000 
2004,서울특별시,중랑구,주택용,38923000 ,40973000 ,36995000 ,36604000 ,34936000 ,35907000 ,35643000 ,43653000 ,38195000 ,35052000 ,36799000 ,37401000 
2004,서울특별시,중랑구,일반용,31335000 ,32143000 ,29323000 ,28388000 ,27164000 ,30613000 ,33144000 ,40157000 ,35169000 ,28410000 ,28678000 ,30425000 
2004,서울특별시,중랑구,총계,79470000 ,82426000 ,75242000 ,73487000 ,69343000 ,73729000 ,76025000 ,91571000 ,81377000 ,70484000 ,73384000 ,76514000 
2004,부산광역시,강서구,주택용,3840000 ,4127000 ,3570000 ,3681000 ,3447000 ,3490000 ,3449000 ,4426000 ,3873000 ,3482000 ,3595000 ,3699000 
2004,부산광역시,강서구,일반용,8232000 ,8189000 ,7559000 ,7368000 ,6994000 ,7543000 ,8461000 ,10160000 ,8645000 ,7298000 ,7584000 ,8374000 
2004,부산광역시,강서구,총계,97433000 ,99510000 ,101164000 ,99329000 ,95754000 ,100143000 ,106016000 ,107495000 ,106981000 ,103029000 ,111174000 ,116530000 
2004,부산광역시,금정구,주택용,24322000 ,25705000 ,22510000 ,22563000 ,21367000 ,21232000 ,21512000 ,27061000 ,23327000 ,21312000 ,22576000 ,23152000 
2004,부산광역시,금정구,일반용,27414000 ,28315000 ,24800000 ,24467000 ,23323000 ,26235000 ,29334000 ,35753000 ,29798000 ,24613000 ,24263000 ,25501000 
2004,부산광역시,금정구,총계,79626000 ,82462000 ,74759000 ,73356000 ,67462000 ,70719000 ,74718000 ,86124000 ,76163000 ,68264000 ,71659000 ,75138000 
2004,부산광역시,기장군,주택용,6180000 ,6483000 ,5771000 ,5927000 ,5631000 ,5733000 ,5737000 ,6779000 ,6241000 ,5798000 ,6063000 ,6140000 
2004,부산광역시,기장군,일반용,8445000 ,8498000 ,7629000 ,7675000 ,7327000 ,7778000 ,8518000 ,11016000 ,9637000 ,8070000 ,8104000 ,8293000 
2004,부산광역시,기장군,총계,53241000 ,58260000 ,54866000 ,48740000 ,46188000 ,46366000 ,45881000 ,47645000 ,51618000 ,51754000 ,50386000 ,52488000 
2004,부산광역시,남구,주택용,28133000 ,29224000 ,26011000 ,26299000 ,25033000 ,24817000 ,25798000 ,31155000 ,26787000 ,25160000 ,26160000 ,27259000 
2004,부산광역시,남구,일반용,22794000 ,23209000 ,20603000 ,21213000 ,20281000 ,21239000 ,23538000 ,29476000 ,25583000 ,21665000 ,20643000 ,21319000 
2004,부산광역시,남구,총계,87250000 ,88235000 ,83538000 ,81685000 ,79835000 ,80320000 ,83808000 ,95406000 ,86342000 ,83229000 ,80960000 ,86780000 
2004,부산광역시,동구,주택용,10363000 ,10223000 ,9058000 ,9254000 ,8610000 ,8481000 ,8478000 ,10842000 ,8992000 ,8427000 ,8928000 ,9185000 
2004,부산광역시,동구,일반용,22498000 ,21818000 ,20033000 ,19683000 ,19130000 ,20749000 ,24362000 ,29322000 ,24741000 ,19823000 ,19097000 ,20211000 
2004,부산광역시,동구,총계,49436000 ,48065000 ,45339000 ,45141000 ,42487000 ,42289000 ,45760000 ,53485000 ,47404000 ,41480000 ,43169000 ,44517000 
2004,부산광역시,동래구,주택용,25012000 ,25939000 ,22921000 ,22745000 ,21864000 ,21775000 ,22291000 ,28094000 ,23631000 ,21708000 ,22531000 ,23530000 
2004,부산광역시,동래구,일반용,28611000 ,29157000 ,26431000 ,26098000 ,25371000 ,28226000 ,30786000 ,38183000 ,32240000 ,26873000 ,26256000 ,27108000 
2004,부산광역시,동래구,총계,68778000 ,70618000 ,63098000 ,61659000 ,57716000 ,59156000 ,62014000 ,75081000 ,65198000 ,58365000 ,60496000 ,64058000 
2004,부산광역시,부산진구,주택용,38169000 ,37415000 ,33522000 ,34281000 ,32254000 ,31978000 ,33013000 ,40711000 ,34386000 ,32480000 ,33651000 ,35605000 
2004,부산광역시,부산진구,일반용,61059000 ,59570000 ,54804000 ,54997000 ,53923000 ,58906000 ,67236000 ,79816000 ,67788000 ,56229000 ,54120000 ,55846000 
2004,부산광역시,부산진구,총계,139093000 ,134422000 ,126944000 ,125307000 ,119677000 ,123844000 ,133462000 ,154034000 ,133924000 ,119618000 ,121374000 ,129221000 
2004,부산광역시,북구,주택용,27810000 ,28602000 ,25739000 ,26109000 ,24794000 ,25151000 ,25659000 ,30992000 ,26910000 ,25198000 ,27093000 ,28022000 
2004,부산광역시,북구,일반용,22423000 ,22588000 ,19937000 ,19984000 ,19492000 ,21874000 ,24262000 ,29594000 ,25342000 ,20914000 ,20879000 ,21520000 
2004,부산광역시,북구,총계,63621000 ,64195000 ,58274000 ,58499000 ,55389000 ,57793000 ,61286000 ,71800000 ,62667000 ,55970000 ,58878000 ,61257000 
2004,부산광역시,사상구,주택용,24669000 ,25549000 ,22578000 ,22800000 ,21406000 ,21577000 ,21949000 ,26998000 ,22459000 ,21341000 ,22819000 ,23602000 
2004,부산광역시,사상구,일반용,31713000 ,31807000 ,29058000 ,28739000 ,27776000 ,30210000 ,34127000 ,40480000 ,34706000 ,28831000 ,28589000 ,30326000 
2004,부산광역시,사상구,총계,155960000 ,158602000 ,154776000 ,153217000 ,143590000 ,146878000 ,151091000 ,156921000 ,152533000 ,141756000 ,152460000 ,158171000 
2004,부산광역시,사하구,주택용,32857000 ,33913000 ,30575000 ,30340000 ,28885000 ,29028000 ,29527000 ,35914000 ,31238000 ,29198000 ,30715000 ,31646000 
2004,부산광역시,사하구,일반용,27408000 ,27518000 ,24598000 ,24201000 ,23446000 ,25230000 ,28169000 ,35081000 ,30350000 ,25505000 ,24382000 ,25420000 
2004,부산광역시,사하구,총계,230287000 ,227652000 ,229664000 ,228596000 ,222438000 ,226831000 ,219003000 ,201909000 ,186444000 ,221493000 ,219151000 ,230907000 
2004,부산광역시,서구,주택용,12701000 ,13446000 ,11895000 ,11700000 ,11050000 ,11029000 ,10889000 ,13471000 ,11848000 ,11044000 ,11610000 ,11941000 
2004,부산광역시,서구,일반용,14523000 ,14615000 ,13442000 ,13139000 ,9047000 ,12928000 ,14616000 ,17795000 ,15442000 ,12955000 ,12587000 ,12940000 
2004,부산광역시,서구,총계,40927000 ,41056000 ,38138000 ,37056000 ,31723000 ,35498000 ,38352000 ,44642000 ,41256000 ,39846000 ,39889000 ,40617000 
2004,부산광역시,수영구,주택용,16780000 ,17411000 ,15345000 ,15383000 ,14713000 ,14614000 ,15352000 ,19205000 ,16011000 ,15042000 ,15780000 ,16428000 
2004,부산광역시,수영구,일반용,18539000 ,19050000 ,17122000 ,16838000 ,16121000 ,17367000 ,20090000 ,25111000 ,20876000 ,17297000 ,17238000 ,17918000 
2004,부산광역시,수영구,총계,42898000 ,44534000 ,39865000 ,39179000 ,36845000 ,37367000 ,40574000 ,49423000 ,41802000 ,37617000 ,39322000 ,41601000 
2004,부산광역시,연제구,주택용,20474000 ,21340000 ,18987000 ,18879000 ,17938000 ,17903000 ,18464000 ,22107000 ,19617000 ,17945000 ,18924000 ,19461000 
2004,부산광역시,연제구,일반용,25757000 ,25963000 ,23472000 ,22648000 ,22093000 ,25401000 ,28246000 ,33740000 ,28317000 ,23298000 ,22617000 ,23658000 
2004,부산광역시,연제구,총계,54972000 ,56209000 ,50456000 ,48880000 ,46133000 ,49247000 ,52544000 ,61588000 ,53734000 ,46774000 ,48176000 ,50809000 
2004,부산광역시,영도구,주택용,14454000 ,15334000 ,13255000 ,13304000 ,12706000 ,12603000 ,12580000 ,14937000 ,13406000 ,12603000 ,13289000 ,13469000 
