ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,energy,pop,month
2017-06-01,21.3,18.4,25.2,6.800000000000001,3.8999999999999986,2.900000000000002,12.694956524832666,348296019,3486570.0,6
2017-07-01,26.1,23.6,29.2,5.599999999999998,3.099999999999998,2.5,20.854583385560016,393620358,3484836.0,7
2017-08-01,27.0,24.3,30.5,6.199999999999999,3.5,2.6999999999999993,22.48262125928112,479349334,3484183.0,8
2017-09-01,22.6,19.6,26.5,6.899999999999999,3.8999999999999986,3.0,14.878134555503937,403349943,3482804.0,9
2017-10-01,18.1,15.1,22.3,7.200000000000001,4.199999999999999,3.0000000000000018,7.246268503977738,348724952,3478109.0,10
2017-11-01,11.2,6.9,16.3,9.4,5.100000000000001,4.299999999999999,-5.083429928260223,365692028,3474534.0,11
2017-12-01,3.6,-0.7,8.6,9.299999999999999,5.0,4.3,-18.279306961742858,390572123,3470653.0,12
2018-01-01,1.9,-1.9,6.5,8.4,4.6,3.8,-21.09495800545872,425745586,3467055.0,1
2018-02-01,3.9,-0.2,8.9,9.1,5.0,4.1,-17.629672483132097,431682483,3465407.0,2
2018-03-01,10.0,6.0,14.5,8.5,4.5,4.0,-7.266038952292579,369304248,3463103.0,3
2018-04-01,14.5,11.1,18.7,7.6,4.199999999999999,3.4000000000000004,0.7580438157700513,380533616,3460707.0,4
2018-05-01,17.8,15.0,21.5,6.5,3.6999999999999993,2.8000000000000007,6.6054992614695145,354429747,3458134.0,5
2018-06-01,21.5,18.9,25.2,6.300000000000001,3.6999999999999993,2.6000000000000014,13.135950235197928,361222257,3455611.0,6
2018-07-01,26.7,23.9,30.2,6.300000000000001,3.5,2.8000000000000007,21.898356233426437,407088311,3453198.0,7
2018-08-01,27.9,25.3,31.3,6.0,3.400000000000002,2.599999999999998,24.05415491634869,567512791,3451049.0,8
2018-09-01,21.9,19.5,25.3,5.800000000000001,3.400000000000002,2.3999999999999986,13.806982359888512,429602504,3449593.0,9
2018-10-01,16.4,13.0,21.1,8.100000000000001,4.700000000000003,3.3999999999999986,4.296995020316377,352945248,3446856.0,10
2018-11-01,12.4,8.9,17.5,8.6,5.1,3.5,-2.4848920138171806,366252923,3444540.0,11
2018-12-01,5.7,2.0,10.1,8.1,4.3999999999999995,3.7,-14.55795632342221,387327373,3441453.0,12
2019-01-01,4.5,0.5,9.6,9.1,5.1,4.0,-16.47598936919444,425252012,3438259.0,1
